date,state,cumul_partial,cumul_full,cumul_booster,cumul_booster2,cumul,static_pop
23/09/2022,Johor,3351454,3296147,2144930,53089,8838874,3794200
23/09/2022,Kedah,1697221,1664221,750564,9949,4111511,2193600
23/09/2022,Kelantan,1252800,1226249,339088,2927,2812551,1928900
23/09/2022,Melaka,795053,780997,546882,15508,2135278,937800
23/09/2022,Negeri Sembilan,1032730,1017027,661854,18578,2728064,1128900
23/09/2022,Pahang,1280020,1253348,631582,11702,3166616,1684700
23/09/2022,Perak,2024339,1981467,1169438,32279,5192862,2509000
23/09/2022,Perlis,217111,213555,79731,638,510381,255500
23/09/2022,Pulau Pinang,1634428,1612918,1084426,20359,4347552,1774200
23/09/2022,Sabah,2613970,2524769,934178,14890,5953747,3832500
23/09/2022,Sarawak,2506624,2428597,1582225,44694,6560960,2824700
23/09/2022,Selangor,5253402,5170765,4078163,150460,14639337,6555100
23/09/2022,Terengganu,936191,918341,357631,3125,2209629,1275200
23/09/2022,Kuala Lumpur,3249249,3167431,1737734,116533,8268498,1746600
23/09/2022,Labuan,89616,85273,50052,543,225482,100100
23/09/2022,Putrajaya,166231,165189,84527,2941,418819,116100